MOVIE_KEY,title,genres
M87,Dunston Checks In (1996),Children|Comedy
M88,Black Sheep (1996),Comedy
M89,Nick of Time (1995),Action|Thriller
M92,Mary Reilly (1996),Drama|Horror|Thriller
M93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
M94,Beautiful Girls (1996),Comedy|Drama|Romance
M95,Broken Arrow (1996),Action|Adventure|Thriller
M96,In the Bleak Midwinter (1995),Comedy|Drama
M97,"Hate (Haine, La) (1995)",Crime|Drama
M99,Heidi Fleiss: Hollywood Madam (1995),Documentary
M100,City Hall (1996),Drama|Thriller
M101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
M102,Mr. Wrong (1996),Comedy
M103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
M104,Happy Gilmore (1996),Comedy
M105,"Bridges of Madison County, The (1995)",Drama|Romance
M106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
M107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
M108,Catwalk (1996),Documentary
M110,Braveheart (1995),Action|Drama|War
M111,Taxi Driver (1976),Crime|Drama|Thriller
M112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
M113,Before and After (1996),Drama|Mystery
M116,Anne Frank Remembered (1995),Documentary
M117,"Young Poisoner's Handbook, The (1995)",Crime|Drama
M118,If Lucy Fell (1996),Comedy|Romance
M119,"Steal Big, Steal Little (1995)",Comedy
M121,"Boys of St. Vincent, The (1992)",Drama
M122,Boomerang (1992),Comedy|Romance
M123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
M125,Flirting With Disaster (1996),Comedy
M126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
M128,Jupiter's Wife (1994),Documentary
M129,Pie in the Sky (1996),Comedy|Romance
M132,Jade (1995),Thriller
M135,Down Periscope (1996),Comedy
M137,Man of the Year (1995),Documentary
M140,Up Close and Personal (1996),Drama|Romance
M141,"Birdcage, The (1996)",Comedy
M144,"Brothers McMullen, The (1995)",Comedy
M145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
M146,"Amazing Panda Adventure, The (1995)",Adventure|Children
M147,"Basketball Diaries, The (1995)",Drama
M148,"Awfully Big Adventure, An (1995)",Drama
M149,Amateur (1994),Crime|Drama|Thriller
M150,Apollo 13 (1995),Adventure|Drama|IMAX
M151,Rob Roy (1995),Action|Drama|Romance|War
M152,"Addiction, The (1995)",Drama|Horror
M153,Batman Forever (1995),Action|Adventure|Comedy|Crime
M154,Beauty of the Day (Belle de jour) (1967),Drama
M155,Beyond Rangoon (1995),Adventure|Drama|War
M156,Blue in the Face (1995),Comedy|Drama
M157,Canadian Bacon (1995),Comedy|War
M158,Casper (1995),Adventure|Children
M159,Clockers (1995),Crime|Drama|Mystery
M160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
M161,Crimson Tide (1995),Drama|Thriller|War
M162,Crumb (1994),Documentary
M163,Desperado (1995),Action|Romance|Western
M164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
M165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
M166,"Doom Generation, The (1995)",Comedy|Crime|Drama
M168,First Knight (1995),Action|Drama|Romance
M169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
M170,Hackers (1995),Action|Adventure|Crime|Thriller
M171,Jeffrey (1995),Comedy|Drama
M172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
M173,Judge Dredd (1995),Action|Crime|Sci-Fi
M174,Jury Duty (1995),Comedy
M175,Kids (1995),Drama
M176,Living in Oblivion (1995),Comedy
M177,Lord of Illusions (1995),Horror
M178,Love & Human Remains (1993),Comedy|Drama
M179,Mad Love (1995),Drama|Romance
M180,Mallrats (1995),Comedy|Romance
M181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
M183,Mute Witness (1994),Comedy|Horror|Thriller
M184,Nadja (1994),Drama
M185,"Net, The (1995)",Action|Crime|Thriller
M186,Nine Months (1995),Comedy|Romance
M187,Party Girl (1995),Comedy
M188,"Prophecy, The (1995)",Fantasy|Horror|Mystery
M189,Reckless (1995),Comedy|Fantasy
M190,Safe (1995),Thriller
M191,"Scarlet Letter, The (1995)",Drama|Romance
M193,Showgirls (1995),Drama
M194,Smoke (1995),Comedy|Drama
M195,Something to Talk About (1995),Comedy|Drama|Romance
M196,Species (1995),Horror|Sci-Fi
M198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
M199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
M201,Three Wishes (1995),Drama|Fantasy
M202,Total Eclipse (1995),Drama|Romance
M203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
M204,Under Siege 2: Dark Territory (1995),Action
M205,Unstrung Heroes (1995),Comedy|Drama
M206,Unzipped (1995),Documentary
M207,"Walk in the Clouds, A (1995)",Drama|Romance
M208,Waterworld (1995),Action|Adventure|Sci-Fi
M209,White Man's Burden (1995),Drama
M210,Wild Bill (1995),Western
M211,"Browning Version, The (1994)",Drama
M212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
M213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
M214,Before the Rain (Pred dozhdot) (1994),Drama|War
M215,Before Sunrise (1995),Drama|Romance
M216,Billy Madison (1995),Comedy
M217,"Babysitter, The (1995)",Drama|Thriller
M218,Boys on the Side (1995),Comedy|Drama
M219,"Cure, The (1995)",Drama
M220,Castle Freak (1995),Horror
M222,Circle of Friends (1995),Drama|Romance
M223,Clerks (1994),Comedy
M224,Don Juan DeMarco (1995),Comedy|Drama|Romance
M225,Disclosure (1994),Drama|Thriller
M227,Drop Zone (1994),Action|Thriller
M228,Destiny Turns on the Radio (1995),Comedy
M229,Death and the Maiden (1994),Drama|Thriller
M230,Dolores Claiborne (1995),Drama|Thriller
M231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
M232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
M233,Exotica (1994),Drama
M234,Exit to Eden (1994),Comedy
M235,Ed Wood (1994),Comedy|Drama
M236,French Kiss (1995),Action|Comedy|Romance
M237,Forget Paris (1995),Comedy|Romance
M238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
M239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
M240,Hideaway (1995),Thriller
M241,Fluke (1995),Children|Drama
M242,Farinelli: il castrato (1994),Drama|Musical
M243,Gordy (1995),Children|Comedy|Fantasy
M246,Hoop Dreams (1994),Documentary
M247,Heavenly Creatures (1994),Crime|Drama
M248,Houseguest (1994),Comedy
M249,Immortal Beloved (1994),Drama|Romance
M250,Heavyweights (Heavy Weights) (1995),Children|Comedy
M251,"Hunted, The (1995)",Action
M252,I.Q. (1994),Comedy|Romance
M253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
M254,Jefferson in Paris (1995),Drama
M255,"Jerky Boys, The (1995)",Comedy
M256,Junior (1994),Comedy|Sci-Fi
M257,Just Cause (1995),Mystery|Thriller
M258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
M259,Kiss of Death (1995),Crime|Drama|Thriller
M260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
M261,Little Women (1994),Drama
M262,"Little Princess, A (1995)",Children|Drama
M263,Ladybird Ladybird (1994),Drama
M265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
M266,Legends of the Fall (1994),Drama|Romance|War|Western
M267,Major Payne (1995),Comedy
M269,My Crazy Life (Mi vida loca) (1993),Drama
M270,Love Affair (1994),Drama|Romance
M271,Losing Isaiah (1995),Drama
M272,"Madness of King George, The (1994)",Comedy|Drama
M273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
M274,Man of the House (1995),Comedy
M275,Mixed Nuts (1994),Comedy
M276,Milk Money (1994),Comedy|Romance
M277,Miracle on 34th Street (1994),Drama
M278,Miami Rhapsody (1995),Comedy
M279,My Family (1995),Drama
M280,Murder in the First (1995),Drama|Thriller
M281,Nobody's Fool (1994),Comedy|Drama|Romance
M282,Nell (1994),Drama
M283,New Jersey Drive (1995),Crime|Drama
M284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
M285,Beyond Bedlam (1993),Drama|Horror
M287,Nina Takes a Lover (1994),Comedy|Romance
M288,Natural Born Killers (1994),Action|Crime|Thriller
M289,Only You (1994),Comedy|Romance
M290,Once Were Warriors (1994),Crime|Drama
M291,Poison Ivy II (1996),Drama|Thriller
M292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
M293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
M294,"Perez Family, The (1995)",Comedy|Romance
M295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
M296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
M298,Pushing Hands (Tui shou) (1992),Drama
M299,Priest (1994),Drama
M300,Quiz Show (1994),Drama
M301,Picture Bride (Bijo photo) (1994),Drama|Romance
M302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
M303,"Quick and the Dead, The (1995)",Action|Thriller|Western
M304,Roommates (1995),Comedy|Drama
M305,Ready to Wear (Pret-A-Porter) (1994),Comedy
M306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
M307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
M308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
M310,Rent-a-Kid (1995),Comedy
M311,Relative Fear (1994),Horror|Thriller
M312,Stuart Saves His Family (1995),Comedy
M313,"Swan Princess, The (1994)",Animation|Children
M314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
M315,"Specialist, The (1994)",Action|Drama|Thriller
M316,Stargate (1994),Action|Adventure|Sci-Fi
M317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
M318,"Shawshank Redemption, The (1994)",Crime|Drama
M319,Shallow Grave (1994),Comedy|Drama|Thriller
M320,Suture (1993),Film-Noir|Thriller
M321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
M322,Swimming with Sharks (1995),Comedy|Drama
M324,"Sum of Us, The (1994)",Comedy|Drama
M325,National Lampoon's Senior Trip (1995),Comedy
M326,To Live (Huozhe) (1994),Drama
M327,Tank Girl (1995),Action|Comedy|Sci-Fi
M328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
M329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
M330,Tales from the Hood (1995),Action|Crime|Horror
M331,Tom & Viv (1994),Drama
M332,Village of the Damned (1995),Horror|Sci-Fi
M333,Tommy Boy (1995),Comedy
M334,Vanya on 42nd Street (1994),Drama
M335,Underneath (1995),Mystery|Thriller
M336,"Walking Dead, The (1995)",Drama|War
M337,What's Eating Gilbert Grape (1993),Drama
M338,Virtuosity (1995),Action|Sci-Fi|Thriller
M339,While You Were Sleeping (1995),Comedy|Romance
M340,"War, The (1994)",Adventure|Drama|War
M341,Double Happiness (1994),Drama
M342,Muriel's Wedding (1994),Comedy
M343,"Baby-Sitters Club, The (1995)",Children
M344,Ace Ventura: Pet Detective (1994),Comedy
M345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
M346,Backbeat (1993),Drama|Musical
M347,Bitter Moon (1992),Drama|Film-Noir|Romance
M348,Bullets Over Broadway (1994),Comedy
M349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
M350,"Client, The (1994)",Drama|Mystery|Thriller
M351,"Corrina, Corrina (1994)",Comedy|Drama|Romance
M352,Crooklyn (1994),Comedy|Drama
M353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
M354,Cobb (1994),Drama
M355,"Flintstones, The (1994)",Children|Comedy|Fantasy
M356,Forrest Gump (1994),Comedy|Drama|Romance|War
M357,Four Weddings and a Funeral (1994),Comedy|Romance
M358,Higher Learning (1995),Drama
M359,I Like It Like That (1994),Comedy|Drama|Romance
M360,I Love Trouble (1994),Action|Comedy
M361,It Could Happen to You (1994),Comedy|Drama|Romance
M362,"Jungle Book, The (1994)",Adventure|Children|Romance
M363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
M364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
M365,Little Buddha (1993),Drama
M366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
M367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
M368,Maverick (1994),Adventure|Comedy|Western
M369,Mrs. Parker and the Vicious Circle (1994),Drama
M370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
M371,"Paper, The (1994)",Comedy|Drama
M372,Reality Bites (1994),Comedy|Drama|Romance
M373,Red Rock West (1992),Thriller
M374,Richie Rich (1994),Children|Comedy
M376,"River Wild, The (1994)",Action|Thriller
M377,Speed (1994),Action|Romance|Thriller
M378,Speechless (1994),Comedy|Romance
M379,Timecop (1994),Action|Sci-Fi|Thriller
M380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
M381,When a Man Loves a Woman (1994),Drama|Romance
M382,Wolf (1994),Drama|Horror|Romance|Thriller
M383,Wyatt Earp (1994),Western
M384,Bad Company (1995),Action|Crime|Drama
M385,"Man of No Importance, A (1994)",Drama
M386,S.F.W. (1994),Drama
M387,"Low Down Dirty Shame, A (1994)",Action|Comedy
M388,Boys Life (1995),Drama
M389,"Colonel Chabert, Le (1994)",Drama|Romance|War
M390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
M391,Jason's Lyric (1994),Crime|Drama
M393,Street Fighter (1994),Action|Adventure|Fantasy
M405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
M406,Federal Hill (1994),Drama
M407,In the Mouth of Madness (1995),Horror|Thriller
M408,8 Seconds (1994),Drama
M409,Above the Rim (1994),Crime|Drama
M410,Addams Family Values (1993),Children|Comedy|Fantasy
M412,"Age of Innocence, The (1993)",Drama
M413,Airheads (1994),Comedy
M414,"Air Up There, The (1994)",Comedy
M415,Another Stakeout (1993),Comedy|Thriller
M416,Bad Girls (1994),Western
M417,Barcelona (1994),Comedy|Romance
M418,Being Human (1993),Drama
M419,"Beverly Hillbillies, The (1993)",Comedy
M420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
M421,Black Beauty (1994),Adventure|Children|Drama
M422,Blink (1994),Thriller
M423,Blown Away (1994),Action|Thriller
M424,Blue Chips (1994),Drama
M425,Blue Sky (1994),Drama|Romance
M426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
M427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
M428,"Bronx Tale, A (1993)",Drama
M429,Cabin Boy (1994),Comedy
M430,Calendar Girl (1993),Comedy|Drama
M431,Carlito's Way (1993),Crime|Drama
M432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
M433,Clean Slate (1994),Comedy
M434,Cliffhanger (1993),Action|Adventure|Thriller
M435,Coneheads (1993),Comedy|Sci-Fi
M436,Color of Night (1994),Drama|Thriller
M437,Cops and Robbersons (1994),Comedy
M438,"Cowboy Way, The (1994)",Action|Comedy|Drama
M440,Dave (1993),Comedy|Romance
M441,Dazed and Confused (1993),Comedy
M442,Demolition Man (1993),Action|Adventure|Sci-Fi
M444,Even Cowgirls Get the Blues (1993),Comedy|Romance
M445,Fatal Instinct (1993),Comedy
M446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
M448,Fearless (1993),Drama
M449,Fear of a Black Hat (1994),Comedy
M450,With Honors (1994),Comedy|Drama
M451,Flesh and Bone (1993),Drama|Mystery|Romance
M452,Widows' Peak (1994),Drama
M453,For Love or Money (1993),Comedy|Romance
M454,"Firm, The (1993)",Drama|Thriller
M455,Free Willy (1993),Adventure|Children|Drama
M456,Fresh (1994),Crime|Drama|Thriller
M457,"Fugitive, The (1993)",Thriller
M458,Geronimo: An American Legend (1993),Drama|Western
M459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
M460,Getting Even with Dad (1994),Comedy
M461,Go Fish (1994),Drama|Romance
M464,Hard Target (1993),Action|Adventure|Crime|Thriller
M466,Hot Shots! Part Deux (1993),Action|Comedy|War
M467,Live Nude Girls (1995),Comedy
M468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
M469,"House of the Spirits, The (1993)",Drama|Romance
M470,House Party 3 (1994),Comedy
M471,"Hudsucker Proxy, The (1994)",Comedy
M472,I'll Do Anything (1994),Comedy|Drama
M473,In the Army Now (1994),Comedy|War
M474,In the Line of Fire (1993),Action|Thriller
M475,In the Name of the Father (1993),Drama
M476,"Inkwell, The (1994)",Comedy|Drama
M477,What's Love Got to Do with It? (1993),Drama|Musical
M478,Jimmy Hollywood (1994),Comedy|Crime|Drama
M479,Judgment Night (1993),Action|Crime|Thriller
M480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
M481,Kalifornia (1993),Drama|Thriller
M482,Killing Zoe (1994),Crime|Drama|Thriller
M484,Lassie (1994),Adventure|Children
M485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
M486,Life with Mikey (1993),Comedy
M487,Lightning Jack (1994),Comedy|Western
M488,M. Butterfly (1993),Drama|Romance
M489,Made in America (1993),Comedy
M490,Malice (1993),Thriller
M491,"Man Without a Face, The (1993)",Drama
M492,Manhattan Murder Mystery (1993),Comedy|Mystery
M493,Menace II Society (1993),Action|Crime|Drama
M494,Executive Decision (1996),Action|Adventure|Thriller
M495,In the Realm of the Senses (Ai no corrida) (1976),Drama
M496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
M497,Much Ado About Nothing (1993),Comedy|Romance
M499,Mr. Wonderful (1993),Comedy|Romance
M500,Mrs. Doubtfire (1993),Comedy|Drama
M501,Naked (1993),Drama
M502,"Next Karate Kid, The (1994)",Action|Children|Romance
M504,No Escape (1994),Action|Drama|Sci-Fi
M505,North (1994),Comedy
M506,Orlando (1992),Drama|Fantasy|Romance
M507,"Perfect World, A (1993)",Crime|Drama|Thriller
M508,Philadelphia (1993),Drama
M509,"Piano, The (1993)",Drama|Romance
M510,Poetic Justice (1993),Drama
M511,"Program, The (1993)",Action|Drama
M512,"Puppet Masters, The (1994)",Horror|Sci-Fi
M513,Radioland Murders (1994),Comedy|Mystery|Romance
M514,"Ref, The (1994)",Comedy
M515,"Remains of the Day, The (1993)",Drama|Romance
M516,Renaissance Man (1994),Comedy|Drama
M517,Rising Sun (1993),Action|Drama|Mystery
M518,"Road to Wellville, The (1994)",Comedy
M519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
M520,Robin Hood: Men in Tights (1993),Comedy
M521,Romeo Is Bleeding (1993),Crime|Thriller
M522,Romper Stomper (1992),Action|Drama
M523,Ruby in Paradise (1993),Drama
M524,Rudy (1993),Drama
M526,"Savage Nights (Nuits fauves, Les) (1992)",Drama
M527,Schindler's List (1993),Drama|War
M528,"Scout, The (1994)",Comedy|Drama
M529,Searching for Bobby Fischer (1993),Drama
M531,"Secret Garden, The (1993)",Children|Drama
M532,Serial Mom (1994),Comedy|Crime|Horror
M533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
M534,Shadowlands (1993),Drama|Romance
M535,Short Cuts (1993),Drama
M536,"Simple Twist of Fate, A (1994)",Drama
M537,Sirens (1994),Drama
M538,Six Degrees of Separation (1993),Drama
M539,Sleepless in Seattle (1993),Comedy|Drama|Romance
M540,Sliver (1993),Thriller
M541,Blade Runner (1982),Action|Sci-Fi|Thriller
M542,Son in Law (1993),Comedy|Drama|Romance
M543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
M544,Striking Distance (1993),Action|Crime
M546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
M547,Surviving the Game (1994),Action|Adventure|Thriller
M548,Terminal Velocity (1994),Action|Mystery|Thriller
M549,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
M550,Threesome (1994),Comedy|Romance
M551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
M552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
M553,Tombstone (1993),Action|Drama|Western
M555,True Romance (1993),Crime|Thriller
M556,"War Room, The (1993)",Documentary
M558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
M562,Welcome to the Dollhouse (1995),Comedy|Drama
M563,Germinal (1993),Drama|Romance
M564,Chasers (1994),Comedy
M567,Kika (1993),Comedy|Drama
M568,Bhaji on the Beach (1993),Comedy|Drama
M569,Little Big League (1994),Comedy|Drama
M573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama
M574,Spanking the Monkey (1994),Comedy|Drama
M575,"Little Rascals, The (1994)",Children|Comedy
M577,Andre (1994),Adventure|Children|Drama
M579,"Escort, The (Scorta, La) (1993)",Crime|Thriller
M580,Princess Caraboo (1994),Drama
M581,"Celluloid Closet, The (1995)",Documentary
M583,Dear Diary (Caro Diario) (1994),Comedy|Drama
M585,"Brady Bunch Movie, The (1995)",Comedy
M586,Home Alone (1990),Children|Comedy
M587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
M588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
M589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
M590,Dances with Wolves (1990),Adventure|Drama|Western
M592,Batman (1989),Action|Crime|Thriller
M593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
M594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
M595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
M596,Pinocchio (1940),Animation|Children|Fantasy|Musical
M597,Pretty Woman (1990),Comedy|Romance
M599,"Wild Bunch, The (1969)",Adventure|Western
M600,Love and a .45 (1994),Action|Comedy|Crime
M602,"Great Day in Harlem, A (1994)",Documentary
M605,One Fine Day (1996),Drama|Romance
M606,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
M608,Fargo (1996),Comedy|Crime|Drama|Thriller
M609,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
M610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
M611,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
M612,"Pallbearer, The (1996)",Comedy
M613,Jane Eyre (1996),Drama|Romance
M615,Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama
M616,"Aristocats, The (1970)",Animation|Children
M617,"Flower of My Secret, The (La flor de mi secreto) (1995)",Comedy|Drama
M618,Two Much (1995),Comedy|Romance
M619,Ed (1996),Comedy
M626,"Thin Line Between Love and Hate, A (1996)",Comedy
M627,"Last Supper, The (1995)",Drama|Thriller
M628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
M631,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
M632,Land and Freedom (Tierra y libertad) (1995),Drama|War
M633,Denise Calls Up (1995),Comedy
M634,Theodore Rex (1995),Comedy
M635,"Family Thing, A (1996)",Comedy|Drama
M636,Frisk (1995),Drama
M637,Sgt. Bilko (1996),Comedy
M638,Jack and Sarah (1995),Romance
M639,Girl 6 (1996),Comedy|Drama
M640,Diabolique (1996),Drama|Thriller
M645,Nelly & Monsieur Arnaud (1995),Drama
M647,Courage Under Fire (1996),Action|Crime|Drama|War
M648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
